Partido,Local,Visitante,Temporada,Puntos Local,Puntos Visitante,Puntos en zona Local,Puntos 2a oportunidad Local,Puntos en transición Local,Triples Local,Triples intentados Local,% triples Local,Tiros libres Local,Tiros libres intentados Local,% tiros libres Local,Puntos en zona Visitante,Puntos 2a oportunidad Visitante,Puntos en transición Visitante,Triples Visitante,Triples intentados Visitante,% triples Visitante,Tiros libres Visitante,Tiros libres intentados Visitante,% tiros libres Visitante,Puntos de media distancia Local,Puntos de media distancia Visitante,Puntos en zona Total,Puntos de media distancia Total,Puntos de 3 Total,Puntos tiros libres Total,Puntos en transición Total,Puntos Total,Triples intentados Total,Triples encestados Total
BOS vs. IND,BOS,IND,2006,114.0,88.0,46.0,16.0,14.0,8.0,13.0,0.615,16.0,23.0,0.696,40.0,6.0,11.0,6.0,14.0,0.429,20.0,24.0,0.833,44.0,22.0,86.0,66.0,42.0,36.0,25.0,202.0,27.0,14.0
DET vs. NOK,,,2006,99.0,100.0,,,,6.0,18.0,0.333,17.0,26.0,0.654,,,,4.0,12.0,0.333,20.0,23.0,0.87,,,,,30.0,37.0,,199.0,30.0,10.0
HOU vs. CHI,CHI,HOU,2006,101.0,100.0,28.0,11.0,9.0,10.0,30.0,0.333,23.0,28.0,0.821,34.0,10.0,11.0,7.0,20.0,0.35,23.0,29.0,0.793,40.0,36.0,62.0,76.0,51.0,46.0,20.0,201.0,50.0,17.0
PHX vs. PHI,PHX,PHI,2006,106.0,94.0,44.0,17.0,24.0,7.0,20.0,0.35,17.0,23.0,0.739,44.0,9.0,15.0,2.0,14.0,0.143,18.0,27.0,0.667,38.0,30.0,88.0,68.0,27.0,35.0,39.0,200.0,34.0,9.0
SEA vs. UTA,SEA,UTA,2006,109.0,118.0,46.0,8.0,14.0,6.0,17.0,0.353,29.0,36.0,0.806,54.0,25.0,12.0,6.0,13.0,0.462,22.0,31.0,0.71,28.0,36.0,100.0,64.0,36.0,51.0,26.0,227.0,30.0,12.0
LAL vs. TOR,LAL,TOR,2006,107.0,100.0,58.0,13.0,8.0,3.0,11.0,0.273,24.0,34.0,0.706,48.0,14.0,8.0,3.0,19.0,0.158,21.0,28.0,0.75,22.0,28.0,106.0,50.0,18.0,45.0,16.0,207.0,30.0,6.0
CLE vs. MIN,CLE,MIN,2006,92.0,76.0,36.0,15.0,19.0,5.0,14.0,0.357,23.0,30.0,0.767,32.0,12.0,11.0,1.0,7.0,0.143,19.0,24.0,0.792,28.0,24.0,68.0,52.0,18.0,42.0,30.0,168.0,21.0,6.0
DET vs. WAS,WAS,DET,2006,100.0,91.0,42.0,10.0,29.0,8.0,16.0,0.5,16.0,21.0,0.762,40.0,22.0,6.0,4.0,15.0,0.267,17.0,21.0,0.81,34.0,30.0,82.0,64.0,36.0,33.0,35.0,191.0,31.0,12.0
IND vs. NJN,NJN,IND,2006,91.0,100.0,42.0,14.0,13.0,6.0,21.0,0.286,9.0,15.0,0.6,30.0,16.0,10.0,6.0,13.0,0.462,26.0,30.0,0.867,34.0,38.0,72.0,72.0,36.0,35.0,23.0,191.0,34.0,12.0
SAS vs. CHI,CHI,SAS,2006,100.0,83.0,28.0,4.0,8.0,11.0,25.0,0.44,15.0,19.0,0.789,36.0,7.0,19.0,5.0,9.0,0.556,12.0,21.0,0.571,46.0,30.0,64.0,76.0,48.0,27.0,27.0,183.0,34.0,16.0
MEM vs. DAL,DAL,MEM,2006,103.0,115.0,48.0,19.0,8.0,1.0,5.0,0.2,26.0,34.0,0.765,50.0,7.0,9.0,6.0,20.0,0.3,31.0,37.0,0.838,28.0,28.0,98.0,56.0,21.0,57.0,17.0,218.0,25.0,7.0
MIA vs. NYK,MIA,NYK,2006,76.0,100.0,42.0,13.0,4.0,2.0,14.0,0.143,16.0,22.0,0.727,48.0,13.0,12.0,7.0,17.0,0.412,13.0,17.0,0.765,16.0,32.0,90.0,48.0,27.0,29.0,16.0,176.0,31.0,9.0
BOS vs. POR,POR,BOS,2006,118.0,90.0,46.0,14.0,7.0,12.0,20.0,0.6,28.0,36.0,0.778,34.0,16.0,23.0,4.0,13.0,0.308,20.0,23.0,0.87,32.0,32.0,80.0,64.0,48.0,48.0,30.0,208.0,33.0,16.0
LAC vs. PHI,PHI,LAC,2006,103.0,97.0,48.0,13.0,20.0,0.0,7.0,0.0,33.0,40.0,0.825,44.0,12.0,4.0,5.0,14.0,0.357,18.0,25.0,0.72,22.0,30.0,92.0,52.0,15.0,51.0,24.0,200.0,21.0,5.0
UTA vs. PHX,PHX,UTA,2006,120.0,117.0,40.0,13.0,17.0,2.0,13.0,0.154,28.0,33.0,0.848,48.0,13.0,11.0,7.0,18.0,0.389,32.0,39.0,0.821,50.0,30.0,88.0,80.0,27.0,60.0,28.0,237.0,31.0,9.0
ORL vs. CHA,CHA,ORL,2006,97.0,83.0,36.0,14.0,14.0,5.0,10.0,0.5,20.0,27.0,0.741,46.0,21.0,23.0,1.0,17.0,0.059,20.0,26.0,0.769,36.0,16.0,82.0,52.0,18.0,40.0,37.0,180.0,27.0,6.0
MIN vs. NOK,NOK,MIN,2006,96.0,99.0,46.0,8.0,22.0,5.0,14.0,0.357,21.0,27.0,0.778,28.0,16.0,5.0,4.0,10.0,0.4,17.0,20.0,0.85,24.0,50.0,74.0,74.0,27.0,38.0,27.0,195.0,24.0,9.0
DAL vs. MEM,DAL,MEM,2006,89.0,84.0,26.0,15.0,11.0,9.0,17.0,0.529,18.0,24.0,0.75,28.0,12.0,13.0,4.0,14.0,0.286,26.0,33.0,0.788,36.0,26.0,54.0,62.0,39.0,44.0,24.0,173.0,31.0,13.0
NJN vs. POR,POR,NJN,2006,68.0,86.0,20.0,6.0,2.0,2.0,12.0,0.167,20.0,32.0,0.625,30.0,5.0,13.0,4.0,14.0,0.286,20.0,23.0,0.87,26.0,32.0,50.0,58.0,18.0,40.0,15.0,154.0,26.0,6.0
DEN vs. TOR,DEN,TOR,2006,117.0,109.0,50.0,23.0,19.0,11.0,27.0,0.407,24.0,29.0,0.828,40.0,15.0,27.0,6.0,24.0,0.25,19.0,27.0,0.704,32.0,44.0,90.0,76.0,51.0,43.0,46.0,226.0,51.0,17.0
LAL vs. CHI,LAL,CHI,2006,82.0,72.0,38.0,16.0,6.0,6.0,16.0,0.375,20.0,29.0,0.69,30.0,8.0,12.0,7.0,18.0,0.389,11.0,19.0,0.579,18.0,24.0,68.0,42.0,39.0,31.0,18.0,154.0,34.0,13.0
UTA vs. TOR,TOR,UTA,2006,101.0,96.0,32.0,11.0,17.0,5.0,13.0,0.385,20.0,31.0,0.645,46.0,16.0,10.0,7.0,19.0,0.368,27.0,37.0,0.73,44.0,16.0,78.0,60.0,36.0,47.0,27.0,197.0,32.0,12.0
GSW vs. PHX,,,2006,110.0,113.0,,,,8.0,20.0,0.4,8.0,14.0,0.571,,,,13.0,29.0,0.448,8.0,15.0,0.533,,,,,63.0,16.0,,223.0,49.0,21.0
POR vs. SAS,POR,SAS,2006,98.0,107.0,44.0,20.0,4.0,4.0,14.0,0.286,18.0,20.0,0.9,54.0,10.0,4.0,7.0,20.0,0.35,24.0,29.0,0.828,32.0,22.0,98.0,54.0,33.0,42.0,8.0,205.0,34.0,11.0
NYK vs. HOU,NYK,HOU,2006,90.0,97.0,32.0,17.0,11.0,4.0,16.0,0.25,22.0,25.0,0.88,26.0,8.0,2.0,10.0,24.0,0.417,27.0,35.0,0.771,32.0,34.0,58.0,66.0,42.0,49.0,13.0,187.0,40.0,14.0
MEM vs. ORL,MEM,ORL,2006,95.0,86.0,56.0,12.0,21.0,5.0,10.0,0.5,16.0,21.0,0.762,42.0,20.0,13.0,3.0,14.0,0.214,15.0,18.0,0.833,18.0,26.0,98.0,44.0,24.0,31.0,34.0,181.0,24.0,8.0
DAL vs. WAS,DAL,WAS,2006,107.0,80.0,34.0,20.0,11.0,14.0,34.0,0.412,15.0,17.0,0.882,36.0,8.0,25.0,2.0,16.0,0.125,24.0,29.0,0.828,44.0,18.0,70.0,62.0,48.0,39.0,36.0,187.0,50.0,16.0
DEN vs. CHI,DEN,CHI,2006,113.0,109.0,56.0,17.0,15.0,7.0,24.0,0.292,24.0,32.0,0.75,42.0,12.0,24.0,8.0,24.0,0.333,23.0,29.0,0.793,26.0,36.0,98.0,62.0,45.0,47.0,39.0,222.0,48.0,15.0
LAL vs. LAC,LAC,LAL,2006,105.0,101.0,54.0,17.0,8.0,8.0,20.0,0.4,31.0,46.0,0.674,40.0,18.0,6.0,3.0,8.0,0.375,16.0,21.0,0.762,12.0,42.0,94.0,54.0,33.0,47.0,14.0,206.0,28.0,11.0
IND vs. MIL,,,2006,93.0,88.0,,,,7.0,24.0,0.292,16.0,22.0,0.727,,,,4.0,14.0,0.286,14.0,14.0,1.0,,,,,33.0,30.0,,181.0,38.0,11.0
PHI vs. DET,PHI,DET,2006,87.0,97.0,36.0,15.0,9.0,6.0,14.0,0.429,21.0,25.0,0.84,38.0,18.0,12.0,9.0,21.0,0.429,16.0,22.0,0.727,24.0,34.0,74.0,58.0,45.0,37.0,21.0,184.0,35.0,15.0
NOK vs. MIA,MIA,NOK,2006,101.0,86.0,38.0,5.0,11.0,11.0,19.0,0.579,16.0,32.0,0.5,36.0,14.0,11.0,4.0,22.0,0.182,18.0,24.0,0.75,36.0,28.0,74.0,64.0,45.0,34.0,22.0,187.0,41.0,15.0
SAS vs. MIA,MIA,SAS,2006,106.0,86.0,44.0,9.0,8.0,9.0,20.0,0.45,15.0,19.0,0.789,42.0,14.0,8.0,3.0,9.0,0.333,17.0,24.0,0.708,38.0,24.0,86.0,62.0,36.0,32.0,16.0,192.0,29.0,12.0
SAC vs. UTA,UTA,SAC,2006,101.0,110.0,72.0,18.0,10.0,9.0,17.0,0.529,24.0,32.0,0.75,36.0,4.0,11.0,2.0,13.0,0.154,16.0,21.0,0.762,-4.0,56.0,108.0,52.0,33.0,40.0,21.0,211.0,30.0,11.0
HOU vs. WAS,HOU,WAS,2006,86.0,82.0,34.0,15.0,3.0,10.0,26.0,0.385,14.0,19.0,0.737,24.0,8.0,5.0,7.0,15.0,0.467,19.0,26.0,0.731,28.0,32.0,58.0,60.0,51.0,33.0,8.0,168.0,41.0,17.0
GSW vs. DEN,DEN,GSW,2006,112.0,115.0,54.0,20.0,18.0,10.0,29.0,0.345,18.0,29.0,0.621,48.0,11.0,18.0,5.0,20.0,0.25,28.0,36.0,0.778,30.0,34.0,102.0,64.0,45.0,46.0,36.0,227.0,49.0,15.0
CHA vs. BOS,BOS,CHA,2006,92.0,83.0,46.0,15.0,9.0,5.0,12.0,0.417,21.0,29.0,0.724,44.0,11.0,10.0,4.0,19.0,0.211,15.0,23.0,0.652,20.0,20.0,90.0,40.0,27.0,36.0,19.0,175.0,31.0,9.0
MIN vs. NYK,NYK,MIN,2006,107.0,89.0,42.0,12.0,4.0,5.0,9.0,0.556,26.0,34.0,0.765,34.0,13.0,9.0,2.0,10.0,0.2,23.0,28.0,0.821,34.0,30.0,76.0,64.0,21.0,49.0,13.0,196.0,19.0,7.0
POR vs. NJN,NJN,POR,2006,100.0,97.0,54.0,16.0,8.0,5.0,15.0,0.333,21.0,28.0,0.75,38.0,17.0,9.0,4.0,16.0,0.25,11.0,15.0,0.733,20.0,44.0,92.0,64.0,27.0,32.0,17.0,197.0,31.0,9.0
TOR vs. CLE,TOR,CLE,2006,95.0,87.0,34.0,13.0,7.0,3.0,17.0,0.176,28.0,34.0,0.824,48.0,15.0,12.0,5.0,25.0,0.2,8.0,12.0,0.667,30.0,26.0,82.0,56.0,24.0,36.0,19.0,182.0,42.0,8.0
LAC vs. SEA,SEA,LAC,2006,85.0,95.0,46.0,10.0,8.0,3.0,13.0,0.231,18.0,26.0,0.692,40.0,5.0,4.0,5.0,18.0,0.278,16.0,19.0,0.842,18.0,34.0,86.0,52.0,24.0,34.0,12.0,180.0,31.0,8.0
PHX vs. NOK,PHX,NOK,2006,92.0,83.0,36.0,6.0,14.0,10.0,22.0,0.455,16.0,19.0,0.842,44.0,16.0,13.0,1.0,14.0,0.071,14.0,19.0,0.737,30.0,24.0,80.0,54.0,33.0,30.0,27.0,175.0,36.0,11.0
ORL vs. IND,IND,ORL,2006,96.0,91.0,36.0,6.0,14.0,2.0,8.0,0.25,26.0,43.0,0.605,38.0,9.0,9.0,5.0,12.0,0.417,24.0,29.0,0.828,32.0,24.0,74.0,56.0,21.0,50.0,23.0,187.0,20.0,7.0
MIL vs. PHI,MIL,PHI,2006,98.0,94.0,44.0,13.0,23.0,4.0,13.0,0.308,30.0,42.0,0.714,36.0,11.0,12.0,10.0,17.0,0.588,16.0,25.0,0.64,20.0,32.0,80.0,52.0,42.0,46.0,35.0,192.0,30.0,14.0
DEN vs. GSW,GSW,DEN,2006,140.0,129.0,68.0,21.0,26.0,8.0,23.0,0.348,28.0,35.0,0.8,62.0,19.0,25.0,8.0,26.0,0.308,15.0,24.0,0.625,36.0,44.0,130.0,80.0,48.0,43.0,51.0,269.0,49.0,16.0
PHX vs. NJN,PHX,NJN,2006,99.0,93.0,42.0,4.0,18.0,7.0,21.0,0.333,20.0,27.0,0.741,48.0,11.0,11.0,0.0,11.0,0.0,15.0,24.0,0.625,30.0,30.0,90.0,60.0,21.0,35.0,29.0,192.0,32.0,7.0
ATL vs. TOR,TOR,ATL,2006,97.0,93.0,36.0,14.0,12.0,6.0,17.0,0.353,13.0,21.0,0.619,44.0,13.0,11.0,6.0,17.0,0.353,17.0,21.0,0.81,42.0,26.0,80.0,68.0,36.0,30.0,23.0,190.0,34.0,12.0
BOS vs. NYK,NYK,BOS,2006,77.0,101.0,48.0,13.0,10.0,4.0,21.0,0.19,15.0,18.0,0.833,26.0,9.0,4.0,4.0,12.0,0.333,29.0,39.0,0.744,10.0,42.0,74.0,52.0,24.0,44.0,14.0,178.0,33.0,8.0
SEA vs. SAC,SAC,SEA,2006,100.0,109.0,54.0,10.0,20.0,6.0,20.0,0.3,18.0,25.0,0.72,46.0,17.0,19.0,9.0,23.0,0.391,14.0,22.0,0.636,22.0,40.0,100.0,62.0,45.0,32.0,39.0,209.0,43.0,15.0
IND vs. CLE,CLE,IND,2006,97.0,87.0,24.0,13.0,9.0,4.0,19.0,0.211,33.0,42.0,0.786,36.0,18.0,8.0,5.0,12.0,0.417,26.0,32.0,0.813,36.0,20.0,60.0,56.0,27.0,59.0,17.0,184.0,31.0,9.0
PHI vs. CHI,CHI,PHI,2006,123.0,108.0,42.0,12.0,9.0,5.0,15.0,0.333,34.0,40.0,0.85,40.0,6.0,14.0,6.0,13.0,0.462,22.0,28.0,0.786,42.0,40.0,82.0,82.0,33.0,56.0,23.0,231.0,28.0,11.0
UTA vs. LAL,UTA,LAL,2006,114.0,108.0,54.0,23.0,22.0,5.0,12.0,0.417,25.0,30.0,0.833,36.0,9.0,6.0,8.0,21.0,0.381,30.0,37.0,0.811,30.0,34.0,90.0,64.0,39.0,55.0,28.0,222.0,33.0,13.0
MIA vs. ORL,MIA,ORL,2006,104.0,107.0,34.0,28.0,5.0,3.0,9.0,0.333,29.0,37.0,0.784,44.0,16.0,10.0,3.0,7.0,0.429,30.0,37.0,0.811,38.0,30.0,78.0,68.0,18.0,59.0,15.0,211.0,16.0,6.0
MEM vs. WAS,MEM,WAS,2006,95.0,80.0,30.0,2.0,11.0,5.0,15.0,0.333,30.0,36.0,0.833,42.0,17.0,12.0,4.0,15.0,0.267,8.0,15.0,0.533,30.0,26.0,72.0,56.0,27.0,38.0,23.0,175.0,30.0,9.0
NOK vs. MIN,MIN,NOK,2006,79.0,86.0,36.0,10.0,6.0,3.0,17.0,0.176,22.0,26.0,0.846,30.0,12.0,15.0,2.0,11.0,0.182,14.0,21.0,0.667,18.0,40.0,66.0,58.0,15.0,36.0,21.0,165.0,28.0,5.0
DET vs. CHA,DET,CHA,2006,104.0,95.0,44.0,15.0,27.0,6.0,19.0,0.316,16.0,17.0,0.941,34.0,8.0,17.0,2.0,8.0,0.25,17.0,21.0,0.81,38.0,42.0,78.0,80.0,24.0,33.0,44.0,199.0,27.0,8.0
ORL vs. ATL,ATL,ORL,2006,98.0,79.0,32.0,10.0,13.0,7.0,16.0,0.438,21.0,29.0,0.724,48.0,8.0,26.0,2.0,13.0,0.154,25.0,33.0,0.758,38.0,4.0,80.0,42.0,27.0,46.0,39.0,177.0,29.0,9.0
CHA vs. MIA,MIA,CHA,2006,93.0,102.0,52.0,10.0,10.0,4.0,14.0,0.286,23.0,33.0,0.697,34.0,14.0,12.0,2.0,15.0,0.133,24.0,33.0,0.727,14.0,42.0,86.0,56.0,18.0,47.0,22.0,195.0,29.0,6.0
WAS vs. DET,WAS,DET,2006,111.0,115.0,38.0,17.0,17.0,9.0,27.0,0.333,18.0,23.0,0.783,28.0,14.0,14.0,11.0,24.0,0.458,36.0,40.0,0.9,46.0,40.0,66.0,86.0,60.0,54.0,31.0,226.0,51.0,20.0
NYK vs. CHI,CHI,NYK,2006,95.0,106.0,30.0,9.0,2.0,3.0,9.0,0.333,24.0,38.0,0.632,50.0,14.0,10.0,5.0,17.0,0.294,25.0,37.0,0.676,38.0,26.0,80.0,64.0,24.0,49.0,12.0,201.0,26.0,8.0
HOU vs. MEM,MEM,HOU,2006,85.0,76.0,26.0,10.0,12.0,8.0,27.0,0.296,11.0,20.0,0.55,40.0,8.0,5.0,3.0,12.0,0.25,21.0,33.0,0.636,40.0,12.0,66.0,52.0,33.0,32.0,17.0,161.0,39.0,11.0
SAC vs. POR,POR,SAC,2006,105.0,85.0,30.0,8.0,0.0,8.0,26.0,0.308,23.0,26.0,0.885,44.0,10.0,7.0,5.0,20.0,0.25,16.0,22.0,0.727,44.0,20.0,74.0,64.0,39.0,39.0,7.0,190.0,46.0,13.0
DAL vs. NOK,DAL,NOK,2006,85.0,73.0,30.0,7.0,23.0,3.0,17.0,0.176,30.0,41.0,0.732,30.0,12.0,17.0,3.0,10.0,0.3,14.0,26.0,0.538,22.0,26.0,60.0,48.0,18.0,44.0,40.0,158.0,27.0,6.0
CLE vs. PHI,CLE,PHI,2006,108.0,95.0,62.0,22.0,21.0,8.0,16.0,0.5,14.0,22.0,0.636,38.0,17.0,19.0,5.0,12.0,0.417,28.0,34.0,0.824,24.0,24.0,100.0,48.0,39.0,42.0,40.0,203.0,28.0,13.0
SEA vs. SAS,SEA,SAS,2006,78.0,98.0,44.0,10.0,8.0,1.0,10.0,0.1,11.0,16.0,0.688,46.0,16.0,13.0,7.0,15.0,0.467,9.0,11.0,0.818,22.0,36.0,90.0,58.0,24.0,20.0,21.0,176.0,25.0,8.0
LAL vs. NJN,LAL,NJN,2006,99.0,93.0,36.0,5.0,4.0,12.0,25.0,0.48,13.0,20.0,0.65,42.0,5.0,14.0,4.0,11.0,0.364,19.0,30.0,0.633,38.0,28.0,78.0,66.0,48.0,32.0,18.0,192.0,36.0,16.0
POR vs. PHX,POR,PHX,2006,101.0,119.0,42.0,13.0,4.0,8.0,12.0,0.667,13.0,19.0,0.684,56.0,21.0,17.0,11.0,25.0,0.44,16.0,19.0,0.842,38.0,36.0,98.0,74.0,57.0,29.0,21.0,220.0,37.0,19.0
TOR vs. IND,TOR,IND,2006,92.0,83.0,48.0,18.0,14.0,4.0,12.0,0.333,14.0,18.0,0.778,36.0,10.0,3.0,9.0,19.0,0.474,16.0,20.0,0.8,26.0,22.0,84.0,48.0,39.0,30.0,17.0,175.0,31.0,13.0
DEN vs. LAC,LAC,DEN,2006,103.0,88.0,36.0,22.0,8.0,2.0,14.0,0.143,19.0,23.0,0.826,60.0,19.0,23.0,4.0,12.0,0.333,20.0,26.0,0.769,46.0,4.0,96.0,50.0,18.0,39.0,31.0,191.0,26.0,6.0
GSW vs. SAS,GSW,SAS,2006,111.0,102.0,40.0,10.0,20.0,9.0,17.0,0.529,20.0,24.0,0.833,36.0,15.0,12.0,6.0,16.0,0.375,24.0,26.0,0.923,42.0,36.0,76.0,78.0,45.0,44.0,32.0,213.0,33.0,15.0
DAL vs. MIN,DAL,MIN,2006,93.0,87.0,38.0,6.0,6.0,3.0,13.0,0.231,22.0,25.0,0.88,44.0,17.0,6.0,2.0,4.0,0.5,11.0,19.0,0.579,30.0,30.0,82.0,60.0,15.0,33.0,12.0,180.0,17.0,5.0
UTA vs. ORL,ORL,UTA,2006,75.0,88.0,40.0,9.0,19.0,1.0,12.0,0.083,16.0,20.0,0.8,32.0,7.0,13.0,2.0,11.0,0.182,26.0,34.0,0.765,18.0,28.0,72.0,46.0,9.0,42.0,32.0,163.0,23.0,3.0
MIA vs. PHI,MIA,PHI,2006,103.0,91.0,48.0,6.0,10.0,5.0,13.0,0.385,24.0,29.0,0.828,46.0,24.0,18.0,4.0,15.0,0.267,15.0,17.0,0.882,26.0,26.0,94.0,52.0,27.0,39.0,28.0,194.0,28.0,9.0
HOU vs. MIN,HOU,MIN,2006,82.0,75.0,28.0,7.0,2.0,10.0,25.0,0.4,12.0,13.0,0.923,22.0,6.0,8.0,6.0,14.0,0.429,9.0,10.0,0.9,32.0,38.0,50.0,70.0,48.0,21.0,10.0,157.0,39.0,16.0
NOK vs. TOR,NOK,TOR,2006,77.0,94.0,38.0,13.0,10.0,3.0,12.0,0.25,10.0,18.0,0.556,36.0,20.0,11.0,7.0,22.0,0.318,17.0,20.0,0.85,26.0,34.0,74.0,60.0,30.0,27.0,21.0,171.0,34.0,10.0
LAL vs. MIL,MIL,LAL,2006,105.0,109.0,56.0,10.0,14.0,11.0,37.0,0.297,18.0,20.0,0.9,44.0,20.0,9.0,7.0,16.0,0.438,16.0,19.0,0.842,20.0,42.0,100.0,62.0,54.0,34.0,23.0,214.0,53.0,18.0
WAS vs. ATL,ATL,WAS,2006,96.0,95.0,40.0,21.0,7.0,8.0,19.0,0.421,26.0,32.0,0.813,36.0,11.0,31.0,8.0,18.0,0.444,15.0,20.0,0.75,22.0,36.0,76.0,58.0,48.0,41.0,38.0,191.0,37.0,16.0
POR vs. IND,POR,IND,2006,97.0,105.0,32.0,18.0,2.0,4.0,16.0,0.25,25.0,28.0,0.893,42.0,2.0,9.0,9.0,24.0,0.375,20.0,24.0,0.833,36.0,34.0,74.0,70.0,39.0,45.0,11.0,202.0,40.0,13.0
SAC vs. LAC,SAC,LAC,2006,93.0,80.0,36.0,4.0,4.0,6.0,17.0,0.353,21.0,23.0,0.913,32.0,17.0,4.0,4.0,15.0,0.267,16.0,18.0,0.889,30.0,28.0,68.0,58.0,30.0,37.0,8.0,173.0,32.0,10.0
NJN vs. CHA,NJN,CHA,2006,92.0,96.0,30.0,10.0,20.0,3.0,15.0,0.2,33.0,46.0,0.717,28.0,13.0,7.0,4.0,8.0,0.5,16.0,25.0,0.64,26.0,48.0,58.0,74.0,21.0,49.0,27.0,188.0,23.0,7.0
GSW vs. IND,,,2006,106.0,108.0,,,,8.0,18.0,0.444,8.0,12.0,0.667,,,,10.0,22.0,0.455,18.0,26.0,0.692,,,,,54.0,26.0,,214.0,40.0,18.0
DAL vs. TOR,TOR,DAL,2006,117.0,98.0,34.0,15.0,15.0,11.0,20.0,0.55,16.0,25.0,0.64,46.0,18.0,8.0,1.0,6.0,0.167,25.0,34.0,0.735,56.0,26.0,80.0,82.0,36.0,41.0,23.0,215.0,26.0,12.0
LAC vs. MEM,LAC,MEM,2006,105.0,90.0,36.0,14.0,2.0,4.0,7.0,0.571,27.0,33.0,0.818,38.0,12.0,8.0,5.0,9.0,0.556,19.0,27.0,0.704,38.0,28.0,74.0,66.0,27.0,46.0,10.0,195.0,16.0,9.0
PHX vs. HOU,HOU,PHX,2006,102.0,91.0,30.0,8.0,7.0,8.0,19.0,0.421,28.0,32.0,0.875,34.0,15.0,17.0,13.0,38.0,0.342,10.0,14.0,0.714,36.0,34.0,64.0,70.0,63.0,38.0,24.0,193.0,57.0,21.0
UTA vs. SAS,UTA,SAS,2006,83.0,75.0,32.0,11.0,4.0,5.0,11.0,0.455,18.0,27.0,0.667,32.0,6.0,4.0,8.0,24.0,0.333,9.0,14.0,0.643,28.0,26.0,64.0,54.0,39.0,27.0,8.0,158.0,35.0,13.0
CLE vs. NYK,CLE,NYK,2006,98.0,101.0,56.0,21.0,18.0,4.0,19.0,0.211,18.0,25.0,0.72,46.0,12.0,4.0,9.0,16.0,0.563,18.0,27.0,0.667,20.0,28.0,102.0,48.0,39.0,36.0,22.0,199.0,35.0,13.0
ATL vs. CHA,ATL,CHA,2006,99.0,90.0,38.0,15.0,2.0,8.0,22.0,0.364,17.0,17.0,1.0,22.0,9.0,11.0,4.0,17.0,0.235,26.0,33.0,0.788,36.0,38.0,60.0,74.0,36.0,43.0,13.0,189.0,39.0,12.0
SEA vs. ORL,SEA,ORL,2006,84.0,94.0,36.0,13.0,6.0,6.0,22.0,0.273,16.0,17.0,0.941,44.0,9.0,18.0,2.0,7.0,0.286,24.0,33.0,0.727,26.0,24.0,80.0,50.0,24.0,40.0,24.0,178.0,29.0,8.0
MIA vs. DET,MIA,DET,2006,85.0,87.0,36.0,19.0,11.0,6.0,11.0,0.545,15.0,22.0,0.682,24.0,12.0,8.0,7.0,15.0,0.467,18.0,28.0,0.643,28.0,38.0,60.0,66.0,39.0,33.0,19.0,172.0,26.0,13.0
LAL vs. UTA,UTA,LAL,2006,132.0,102.0,50.0,12.0,8.0,8.0,17.0,0.471,34.0,44.0,0.773,52.0,15.0,12.0,2.0,9.0,0.222,22.0,31.0,0.71,40.0,26.0,102.0,66.0,30.0,56.0,20.0,234.0,26.0,10.0
TOR vs. BOS,TOR,BOS,2006,106.0,102.0,44.0,10.0,5.0,1.0,6.0,0.167,21.0,25.0,0.84,36.0,4.0,9.0,5.0,12.0,0.417,25.0,30.0,0.833,40.0,36.0,80.0,76.0,18.0,46.0,14.0,208.0,18.0,6.0
POR vs. ORL,,,2006,89.0,91.0,,,,2.0,16.0,0.125,23.0,30.0,0.767,,,,3.0,11.0,0.273,14.0,19.0,0.737,,,,,15.0,37.0,,180.0,27.0,5.0
WAS vs. CHA,WAS,CHA,2006,121.0,109.0,48.0,14.0,18.0,6.0,13.0,0.462,23.0,32.0,0.719,32.0,18.0,8.0,7.0,15.0,0.467,18.0,24.0,0.75,44.0,52.0,80.0,96.0,39.0,41.0,26.0,230.0,28.0,13.0
NOK vs. CHI,CHI,NOK,2006,108.0,111.0,36.0,18.0,9.0,9.0,18.0,0.5,27.0,40.0,0.675,30.0,4.0,26.0,12.0,21.0,0.571,17.0,25.0,0.68,36.0,52.0,66.0,88.0,63.0,44.0,35.0,219.0,39.0,21.0
PHX vs. MIL,MIL,PHX,2006,122.0,116.0,52.0,22.0,8.0,11.0,26.0,0.423,29.0,33.0,0.879,42.0,21.0,17.0,5.0,14.0,0.357,17.0,26.0,0.654,30.0,52.0,94.0,82.0,48.0,46.0,25.0,238.0,40.0,16.0
MIN vs. DEN,MIN,DEN,2006,92.0,106.0,38.0,13.0,17.0,5.0,13.0,0.385,11.0,12.0,0.917,48.0,26.0,14.0,6.0,17.0,0.353,14.0,16.0,0.875,38.0,38.0,86.0,76.0,33.0,25.0,31.0,198.0,30.0,11.0
ATL vs. CLE,CLE,ATL,2006,95.0,106.0,44.0,15.0,8.0,4.0,13.0,0.308,27.0,34.0,0.794,36.0,9.0,8.0,7.0,16.0,0.438,17.0,29.0,0.586,20.0,46.0,80.0,66.0,33.0,44.0,16.0,201.0,29.0,11.0
SEA vs. IND,IND,SEA,2006,105.0,103.0,50.0,9.0,15.0,1.0,13.0,0.077,24.0,28.0,0.857,50.0,12.0,12.0,8.0,17.0,0.471,15.0,23.0,0.652,30.0,30.0,100.0,60.0,27.0,39.0,27.0,208.0,30.0,9.0
